Column,DeckName,PlayerName,DeckList(tweet rink),Blog
,,,,
,,,,
best1,クワガノンV,masa,88xcGc-HzariL-4cGcG8,https://note.com/yoshi1026/n/n8fb056b3a547
best2,クワガノンV,ヤスノリ,gngHgg-jbnMQO-9nLn6g,https://note.com/yoshi1026/n/n8fb056b3a547
best4,マグカルゴLO,佐久間,L9nQnn-f2FeAx-LQnggg,https://twitter.com/shisyamo912/status/1277155386366111744?s=20
best4,チラチーノLO,774,xY84Yc-3LxZn6-Y8Gc8Y,https://note.com/no_name774__/n/nc44b4eb6d4cd
best8,カイリューLO,Tanebo,kFVk5F-hOK5Ga-FbVk5b,https://note.com/itigomasimaro/n/n274fc2cfabe2
best8,ルカメタザシアン,nanaki,FkvbwV-oWRWB3-fb5kFk,
best8,ムゲンダイナ,きゃす,FFkkkf-ghNLvM-wvvFFb,
best8,ムゲンダイナ,しゅんすけ25,JDx4cx-lGBCDY-8YccG8,
best16,マグカルゴLO,ガルシア,8Jc8cY-migrxp-Dc8YG8,
best16,小ズガ,サカキ,yyyMMy-O95l7Z-2pRRSp,
best16,チラチーノLO,しろあん,ngggnN-Fo7Arh-9nQ6nN,
best16,ムゲンダイナ,シハツ,acG8Yc-QlZm28-8x8YxJ,
best16,マルヤクデVmax,テラダ,x8x8cc-2wnoyN-D48G84,
best16,ピカゼク,とと,cD8KYc-i3eaWe-YYGx88,
best16,小ズガ,ひとでなし,c8ccGc-mrcHZ8-KG8Gxc,
best16,ドクケイル,メガリョウ,Ln9Qgn-wmZOXx-HiPNPg,https://note.com/megaryo_624/n/n6b41ee88fbfa
,,,,